Lon,Lat,Year,Month,Day,Mag,Depth,Hour,Min,Sec,Mw_Her,Mw_Mar,Mw_Sip
120.8975,-22.5819,2015,10,13,4.3,11.3,6,54,57.64,nan,4.1,nan
151.374,-25.219,2015,2,15,4.9,15,15,57,10,nan,4.8,nan
121.232,-30.815,2014,10,31,4.5,10,19,15,25,nan,nan,3.9
139.541,-32.796,2014,4,29,4.6,13,9,54,56,nan,4.1,nan
121.187,-30.679,2014,2,26,4.5,0,0,0,7,4.34,nan,4.3
131.9755,-25.9665,2013,6,9,5.6,1.1,14,22,12.8,5.43,5.5,nan
146.2,-38.304,2012,6,19,5.2,10,10,53,29,4.93,4.9,nan
150.413,-30.759,2012,6,8,4,0,11,31,0,4.03,nan,nan
132.1815,-26.151,2012,3,23,5.6,13.2,9,25,17.55,5.3,5.4,nan
147.6764,-20.0047,2011,4,16,5.2,10,5,31,19.29,5.04,5,nan
121.7699,-30.7448,2010,4,20,5.2,10,0,17,9.54,nan,4.3,4
145.7896,-38.2942,2009,3,18,4.3,14.9,5,28,21.08,4.42,nan,nan
145.6179,-38.3528,2009,3,6,4.5,12,9,55,39.15,4.45,nan,nan
118.0371,-30.2396,2009,3,5,4.6,5,12,53,50.72,4.05,nan,nan
117.8156,-30.2379,2009,1,31,4.2,3.1,8,47,2.61,3.78,nan,nan
