Id,Set,Class,Value,Weight
S1Q1,FSM_clustering,Cratonic,Poisson,0.42
S1Q2,FSM_clustering,Cratonic,Clustered,0.58
S1Q3,FSM_clustering,Non_cratonic,Poisson,0.4
S1Q4,FSM_clustering,Non_cratonic,Clustered,0.6
S1Q5,FSM_clustering,Extended,Poisson,0.447
S1Q6,FSM_clustering,Extended,Clustered,0.553
S1Q7,FSM_cluster_type,Cluster_type,Bimodal,0.493
S1Q8,FSM_cluster_type,Cluster_type,Time-dependent,0.507
S1Q9,FSM_MFD,Cratonic,YC_Add,0.234
S1Q10,FSM_MFD,Cratonic,YC_MB,0.075
S1Q11,FSM_MFD,Cratonic,YC_Geom,0.102
S1Q12,FSM_MFD,Cratonic,GR_Add,0.153
S1Q13,FSM_MFD,Cratonic,GR_MB,0.087
S1Q14,FSM_MFD,Cratonic,GA_Geom,0.107
S1Q15,FSM_MFD,Cratonic,MM_Add,0.147
S1Q16,FSM_MFD,Cratonic,MM_MB,0.029
S1Q17,FSM_MFD,Cratonic,MM_Geom,0.066
S1Q18,FSM_MFD,Non_cratonic,YC_Add,0.243
S1Q19,FSM_MFD,Non_cratonic,YC_MB,0.072
S1Q20,FSM_MFD,Non_cratonic,YC_Geom,0.122
S1Q21,FSM_MFD,Non_cratonic,GR_Add,0.147
S1Q22,FSM_MFD,Non_cratonic,GR_MB,0.09
S1Q23,FSM_MFD,Non_cratonic,GA_Geom,0.117
S1Q24,FSM_MFD,Non_cratonic,MM_Add,0.122
S1Q25,FSM_MFD,Non_cratonic,MM_MB,0.027
S1Q26,FSM_MFD,Non_cratonic,MM_Geom,0.06
S1Q27,FSM_MFD,Extended,YC_Add,0.241
S1Q28,FSM_MFD,Extended,YC_MB,0.08
S1Q29,FSM_MFD,Extended,YC_Geom,0.126
S1Q30,FSM_MFD,Extended,GR_Add,0.138
S1Q31,FSM_MFD,Extended,GR_MB,0.081
S1Q32,FSM_MFD,Extended,GA_Geom,0.125
S1Q33,FSM_MFD,Extended,MM_Add,0.113
S1Q34,FSM_MFD,Extended,MM_MB,0.038
S1Q35,FSM_MFD,Extended,MM_Geom,0.058
S2Q1,Source_model,Source_type,Smoothed,0.09
S2Q2,Source_model,Source_type,Background,0.163
S2Q3,Source_model,Source_type,Regional,0.107
S2Q4,Source_model,Source_type,Seismotectonic,0.413
S2Q5,Source_model,Source_type,Smoothed_faults,0.227
S3Q1,Source_model,Smoothed_seismicity,Hall,0.215
S3Q2,Source_model,Smoothed_seismicity,GA_fixed,0.174
S3Q3,Source_model,Smoothed_seismicity,GA_adaptive,0.33
S3Q4,Source_model,Smoothed_seismicity,Cuthbertson,0.281
S4Q1,Source_model,Background,NSHA13_BG,0.195
S4Q2,Source_model,Background,S&McCue,0.079
S4Q3,Source_model,Background,Leonard,0.107
S4Q4,Source_model,Background,ARUP,0.319
S4Q5,Source_model,Background,Neotectonic_domains,0.3
S5Q1,Source_model,Regional,NSHA13,0.28
S5Q2,Source_model,Regional,NSHA13_HS,0.127
S5Q3,Source_model,Regional,AUS6,0.33
S5Q4,Source_model,Regional,DIMAUS,0.263
S6Q1,Source_model,Seismotectonic,GA,0.405
S6Q2,Source_model,Seismotectonic,AUS6,0.323
S6Q3,Source_model,Seismotectonic,DIMAUS,0.272
S7Q1,Mmax,Archean,7.1,0.142
S7Q2,Mmax,Archean,7.2,0.191
S7Q3,Mmax,Archean,7.3,0.359
S7Q4,Mmax,Archean,7.4,0.159
S7Q5,Mmax,Archean,7.5,0.149
S7Q6,Mmax,Proterozoic,7.3,0.179
S7Q7,Mmax,Proterozoic,7.4,0.228
S7Q8,Mmax,Proterozoic,7.5,0.273
S7Q9,Mmax,Proterozoic,7.6,0.195
S7Q10,Mmax,Proterozoic,7.7,0.125
S7Q11,Mmax,Non_cratonic,7.4,0.182
S7Q12,Mmax,Non_cratonic,7.5,0.331
S7Q13,Mmax,Non_cratonic,7.6,0.25
S7Q14,Mmax,Non_cratonic,7.7,0.158
S7Q15,Mmax,Non_cratonic,7.8,0.079
S7Q16,Mmax,Extended,7.5,0.199
S7Q17,Mmax,Extended,7.6,0.24
S7Q18,Mmax,Extended,7.7,0.312
S7Q19,Mmax,Extended,7.8,0.167
S7Q20,Mmax,Extended,7.9,0.082
S8Q1,Bvalue,b,Source_zone,0.184
S8Q2,Bvalue,b,Neotectonic_domain,0.203
S8Q3,Bvalue,b,Neotectonic_superdomain,0.326
S8Q4,Bvalue,b,Single_b,0.062
S8Q5,Bvalue,b,Model_proponent,0.225
S9Q1,Mcomp,comp,NSHA13,0.317
S9Q2,Mcomp,comp,Cuthbertson,0.34
S9Q3,Mcomp,comp,Dimas,0.13
S9Q4,Mcomp,comp,Mote,0.213
S10Q1,Declustering,Smoothed_seismicity,Declustered,0.64
S10Q2,Declustering,Smoothed_seismicity,Full,0.36
S10Q3,Declustering,Source_zones,Declustered,0.74
S10Q4,Declustering,Source_zones,Full,0.26
