neoteconic,notes,neotec_num,sub_zone,code
,South Victoria,5,5,SVIC
,Northwest Australia,6,6a,NWAU
,Northern Territory,1,1a,NTER
Sprigg Orogen,Flinders Ranges,2,2a,FLDR
,Southern South Australia,1,1b,SOSA
,South-Central Australia,3,3a,SCAU
,Western Australia,8,8b,WAUS
,Eastern Australia Inner Zone,4,4a,EAIZ
,Eastern Australia,4,4b,EAUS
,Central Australia,3,3b,CAUS
,Offshore Northeast,7,7a,OSNE
,Tasmania,4,3c,TASM
,Offshore South,7,7b,OSSO
,Offshore East,7,7c,OFSE
,West Coast,6,6b,WECO
,Offshore West,7,7d,OFSW
,Southwest Seismic Zone,8,8a,SWSZ
,Eastern Sprigg Orogen,2,2b,ESPG
