id,name,code,trt,msr,rar,usd,lsd,min_mag,max_mag,a_val,b_val,strike1,dip1,rake1,npweight1,hd1,hdweight1,sourcetype
1,ZONE 1,Z01,Non_cratonic,WC1994,1,0,20,4.5,7.5,2.66787611,0.955,0,90,0,1,20,1,areaSource
11,ZONE 10,Z10,Non_cratonic,WC1994,1,0,20,4.5,7.5,2.64197915,0.872,0,90,0,1,20,1,areaSource
12,ZONE 11,Z11,Non_cratonic,WC1994,1,0,20,4.5,7.5,2.782798244,0.809,0,90,0,1,20,1,areaSource
13,OFFSHORE SOUTHEAST,OSE,Non_cratonic,WC1994,1,0,20,4.5,7.7,1.115392991,0.75,0,90,0,1,20,1,areaSource
14,ZONE 13a,Z13E,Non_cratonic,WC1994,1,0,20,4.5,7.5,1.720905626,0.975,0,90,0,1,20,1,areaSource
15,ZONE 13,Z13,Non_cratonic,WC1994,1,0,20,4.5,7.5,3.068328556,1.03,0,90,0,1,20,1,areaSource
16,ZONE 14,Z14,Non_cratonic,WC1994,1,0,20,4.5,7.5,2.739593152,1,0,90,0,1,20,1,areaSource
17,ZONE 16,Z16,Cratonic,WC1994,1,0,20,4.5,7.3,2.896411386,0.99,0,90,0,1,15,1,areaSource
18,ZONE 17,Z17,Non_cratonic,WC1994,1,0,20,4.5,7.5,3.746326022,1.043,0,90,0,1,20,1,areaSource
19,ZONE 18,Z18,Cratonic,WC1994,1,0,20,4.5,7.5,2.867585705,1,0,90,0,1,15,1,areaSource
2,ZONE 2,Z02,Non_cratonic,WC1994,1,0,20,4.5,7.5,2.232688237,0.781,0,90,0,1,20,1,areaSource
20,ZONE 20,Z20,Cratonic,WC1994,1,0,20,4.5,7.5,2.622222977,0.763,0,90,0,1,15,1,areaSource
21,ZONE 22,Z22,Cratonic,WC1994,1,0,20,4.5,7.5,2.483968547,0.731,0,90,0,1,15,1,areaSource
22,ZONE 25,Z25,Cratonic,WC1994,1,0,20,4.5,7.3,3.208215105,0.908,0,90,0,1,15,1,areaSource
23,ZONE 29e,Z29E,Cratonic,WC1994,1,0,20,4.5,7.7,2.741828253,0.813,0,90,0,1,15,1,areaSource
24,ZONE 29,Z29,Cratonic,WC1994,1,0,20,4.5,7.5,2.216574962,0.688,0,90,0,1,15,1,areaSource
25,ZONE 30e,Z30E,Cratonic,WC1994,1,0,20,4.5,7.7,2.966472055,0.915,0,90,0,1,15,1,areaSource
26,ZONE 30,Z30,Cratonic,WC1994,1,0,20,4.5,7.5,2.689071743,0.773,0,90,0,1,15,1,areaSource
27,ZONE 31,Z31,Cratonic,WC1994,1,0,20,4.5,7.5,2.71175666,0.866,0,90,0,1,15,1,areaSource
28,FILL 2,FL2,Non_cratonic,WC1994,1,0,20,4.5,7.5,1.648083125,0.975,0,90,0,1,20,1,areaSource
29,BACKGROUND EAST,BGE,Non_cratonic,WC1994,1,0,20,4.5,7.5,3.079241102,0.975,0,90,0,1,20,1,areaSource
3,ZONE 3,Z03,Non_cratonic,WC1994,1,0,20,4.5,7.5,2.237272144,0.74,0,90,0,1,20,1,areaSource
30,FILL 3,FL3,Non_cratonic,WC1994,1,0,20,4.5,7.5,1.9019506,0.975,0,90,0,1,20,1,areaSource
31,BACKGROUND SOUTH,BGS,Cratonic,WC1994,1,0,20,4.5,7.5,2.148380836,0.774,0,90,0,1,15,1,areaSource
32,BACKGROUND WEST,BGW,Cratonic,WC1994,1,0,20,4.5,7.5,2.191106147,0.774,0,90,0,1,15,1,areaSource
34,BACKGROUND NORTH,BGN,Cratonic,WC1994,1,0,20,4.5,7.5,2.655210628,0.774,0,90,0,1,15,1,areaSource
35,OFFSHORE EAST,OEA,Non_cratonic,WC1994,1,0,20,4.5,7.7,2.05528365,0.75,0,90,0,1,20,1,areaSource
36,OFFSHORE SOUTH,OSO,Non_cratonic,WC1994,1,0,20,4.5,7.7,2.296653652,0.75,0,90,0,1,20,1,areaSource
37,OFFSHORE NORTHWEST,ONW,Non_cratonic,WC1994,1,0,20,4.5,7.7,1.82370661,0.75,0,90,0,1,20,1,areaSource
38,OFFSHORE NORTH,ONO,Non_cratonic,WC1994,1,0,20,4.5,7.7,1.675620861,0.75,0,90,0,1,20,1,areaSource
4,ZONE 4a,Z04A,Non_cratonic,WC1994,1,0,20,4.5,7.5,3.087734038,1.005,0,90,0,1,20,1,areaSource
5,ZONE 7,Z07,Non_cratonic,WC1994,1,0,20,4.5,7.5,2.82787931,0.867,0,90,0,1,20,1,areaSource
6,ZONE 12,Z12,Non_cratonic,WC1994,1,0,20,4.5,7.7,2.747754306,1.013,0,90,0,1,20,1,areaSource
7,FILL 6,FL6,Non_cratonic,WC1994,1,0,20,4.5,7.5,1.462547535,0.975,0,90,0,1,20,1,areaSource
8,ZONE 8,Z08,Non_cratonic,WC1994,1,0,20,4.5,7.5,3.396891185,0.984,0,90,0,1,20,1,areaSource
9,ZONE 9,Z09,Non_cratonic,WC1994,1,0,20,4.5,7.5,3.611037927,1.09,0,90,0,1,20,1,areaSource
101,BANDA,BND,Banda_Sea,WC1994,1,0,50,6.5,9.3,6.203,1.014,60,35,90,1,20,1,areaSource
102,PNG HIGHLANDS,PHL,Banda_Sea,WC1994,1,0,50,6.2,9.2,5.931,1.077,100,35,90,1,20,1,areaSource
103,WEST PAPUA,WPA,Banda_Sea,WC1994,1,0,50,6,8.5,5.646,1.049,100,35,90,1,20,1,areaSource
